country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Colombia,6.142933338555555,1.0916395594444446,1.206167099666667,0.6654897858888889,0.5164874948888889,0.11629539633333333,0.05318967911111111,6.1429333385555545,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Comoros,4.088085709714286,0.5006815391428572,0.5780275437142858,0.3604776177142857,0.17290260457142856,0.20794975371428573,0.13320264785714286,4.088085709714286,5.467015764628235,4.3399155291185,5.467015764628235,Not happy
Costa Rica,7.0013777638888905,1.1627093327777778,1.2567396957777777,0.7855416223333334,0.6242399325555554,0.1562643933333333,0.10030763122222222,7.00137776388889,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Croatia,5.658855600555556,1.283734502111111,1.0875086533333334,0.7370171221111111,0.36656990833333336,0.12742021722222222,0.020416457333333332,5.658855600555558,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Cyprus,5.896555525888889,1.4003819452222221,1.0246315587777777,0.8660221442222222,0.4136986012222222,0.20918073722222222,0.0640205688888889,5.904545430272727,5.444338486093167,6.811899206957673,5.444338486093167,Moderately happy
Czech Republic,6.7682111468888895,1.3959038562222224,1.3248368763333334,0.7696220503333334,0.534167861111111,0.090953632,0.040784016666666666,6.7682111468888895,5.444338486093167,5.589284174912879,5.444338486093167,Happy
Democratic Republic of the Congo,4.290625009999999,0.231899977125,0.9150048095,0.221959884875,0.296206791,0.21571258950000002,0.074713500125,4.290625010000001,5.433275931083001,4.273988855633601,5.433275931083001,Not happy
Denmark,7.579733297555555,1.523843504111111,1.4045434216666668,0.8202864545555556,0.6593151798888889,0.27124154277777784,0.46490337733333337,7.579733297555555,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Dominican Republic,5.393022215888889,1.1292006316666665,1.2054761776666667,0.6041906045555554,0.5666415260000001,0.13665162566666667,0.135661215,5.39302221588889,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Ecuador,5.860133320333333,1.013587111,1.0962184918888889,0.7143726627777777,0.5153191944444444,0.1096965491111111,0.11212866999999999,5.860133320333332,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Egypt,4.307600024777778,1.0241867497777777,0.8489045474444445,0.5280420633333333,0.32801609877777776,0.08371141077777777,0.12744590644444445,4.307600024777778,5.444338486093167,5.268499088774629,5.444338486093167,Not happy
El Salvador,6.141366640333334,0.9205516559999999,1.0140380782222222,0.6227909516666666,0.5130762719999999,0.09276492055555556,0.1312112568888889,6.141366640333336,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Estonia,5.910644455777778,1.368522285,1.3451604030000002,0.7183748137777777,0.5584206927777777,0.10878417322222221,0.22500508233333333,5.910644455777778,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Ethiopia,4.323244464444445,0.41476883211111104,0.8260169428888889,0.39828732833333336,0.4214377346666667,0.24853542700000006,0.13356363877777777,4.323244464444444,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Finland,7.662744438666667,1.4773323815555555,1.402296958888889,0.8201610083333333,0.6632219552222223,0.17862035722222216,0.4466920894444445,7.662744438666668,5.444338486093167,6.811899206957673,5.444338486093167,Happy
France,6.586422186111111,1.4587458678888887,1.3092306699999998,0.8654355643333332,0.5156670018888889,0.10458777888888887,0.21270507388888887,6.586422186111114,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Gabon,4.634811119999999,1.1591116244444446,0.9671086363333335,0.39758593666666664,0.3384342748888889,0.047495442222222226,0.07865570288888889,4.634811119999998,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Gambia,4.7521199722,0.4955981104,0.7135357376,0.3068495762,0.3644839048,0.3759979374,0.11681875900000001,4.7521199722,5.502238292361332,4.408037530239584,5.502238292361332,Not happy
Georgia,4.593288840777777,1.0100700814444443,0.5741020926666667,0.6186460672222222,0.4201426825555556,0.03754983888888889,0.23298496788888892,4.593288840777777,5.444338486093167,5.589284174912879,5.444338486093167,Not happy
Germany,6.977977795111112,1.5126553255555555,1.2942415661111109,0.8219772814444444,0.5733572795555557,0.24666298599999997,0.29600380333333337,6.977977795111114,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Ghana,4.710555516555555,0.7239708101111111,0.7470114107777778,0.3491033313333333,0.46182959533333334,0.2363461277777778,0.041784083444444446,4.710555516555555,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Greece,5.4310000114444446,1.3154975107777778,1.0542720153333331,0.8243389612222223,0.14916195544444444,0.0025555555555555557,0.05604156988888889,5.431000011444445,5.444338486093167,6.811899206957673,5.444338486093167,Moderately happy
Guatemala,6.329433336444444,0.9103208507777778,1.0767335831111113,0.5706480638888888,0.5883974822222222,0.19467445088888893,0.08803484211111111,6.3294333364444455,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Guinea Bissau,4.351588864555556,0.429875296,0.6311400717777778,0.23279604188888892,0.3578050634444444,0.24000177044444446,0.108081353,4.3515888645555565,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Haiti,3.809114264142857,0.3132920987142857,0.5572501681428571,0.32572826571428576,0.12466248185714288,0.45265191957142864,0.13304540314285715,3.8091142641428566,5.4144328365574514,5.999807236172232,5.4144328365574514,Not happy
